date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:50	121155/121155	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html	(from )
00:31:51	70/70	---M--	200	added ('OK')	text/plain	date:Mon,%2014%20Feb%202022%2007:00:54%20GMT	https://kodesolution.com/robots.txt		(from )
00:31:51	638/638	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/favicon.png	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/images/favicon.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:52	638/638	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon.png	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:52	1135/1135	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-72x72.png	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-72x72.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:52	1642/1642	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-114x114.png	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-114x114.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:52	2016/2016	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-144x144.png	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/images/apple-touch-icon-144x144.png	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:53	121260/121260	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/bootstrap.min.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/bootstrap.min.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:53	29273/29273	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/jquery-ui.min.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/jquery-ui.min.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:53	84479/84479	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/animate.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/animate.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:54	2350/2350	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/menuzord-skins/menuzord-rounded-boxed.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/menuzord-skins/menuzord-rounded-boxed.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:54	258661/258661	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/css-plugin-collections.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/css-plugin-collections.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:54	158171/158171	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/style-main.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/style-main.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:55	60726/60726	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/preloader.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/preloader.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:55	62858/62858	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/custom-bootstrap-margin-padding.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/custom-bootstrap-margin-padding.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:55	4659/4659	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/responsive.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/responsive.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:55	35463/35463	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/settings.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/settings.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:56	115205/115205	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/layers.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/layers.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:56	59567/59567	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/navigation.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/js/revolution-slider/css/navigation.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
00:31:56	33119/33119	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2016:37:07%20GMT	https://kodesolution.com/html/2017/seniorpress-html/demo/css/colors/theme-skin-color-set-1.css	C:/Users/PC/Desktop/AhmetErdas/AhmetErdasWeb/kodesolution.com/html/2017/seniorpress-html/demo/css/colors/theme-skin-color-set-1.css	(from https://kodesolution.com/html/2017/seniorpress-html/demo/index-mp-layout1.html)
