date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:01	38692/38692	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Sep%202021%2021:51:41%20GMT	http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/index-color-3-kenburns.html	(from )
11:25:02	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Feb%202022%2008:25:00%20GMT	http://mixdesign.club/robots.txt		(from )
11:25:02	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sat,%2018%20Sep%202021%2021:55:10%20GMT	http://mixdesign.club/themeforest/axio/img/favicon/color-3/favicon.ico	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/favicon/color-3/favicon.ico	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:02	832/832	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:55:11%20GMT	http://mixdesign.club/themeforest/axio/img/favicon/color-3/icon.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/favicon/color-3/icon.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:03	5372/5372	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Sep%202021%2021:55:10%20GMT	http://mixdesign.club/themeforest/axio/img/favicon/color-3/apple-touch-icon.png	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/favicon/color-3/apple-touch-icon.png	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:03	386/386	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Sep%202021%2021:55:11%20GMT	http://mixdesign.club/themeforest/axio/img/favicon/color-3/manifest.webmanifest	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/favicon/color-3/manifest.webmanifest	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:04	22882/22882	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Sep%202021%2021:57:01%20GMT	http://mixdesign.club/themeforest/axio/	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/index.html	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:04	8928/8928	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Sep%202021%2021:52:07%20GMT	http://mixdesign.club/themeforest/axio/css/loaders/loader-color-3.css	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/css/loaders/loader-color-3.css	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:05	356293/356293	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Sep%202021%2021:51:57%20GMT	http://mixdesign.club/themeforest/axio/css/plugins.css	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/css/plugins.css	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:07	83056/83056	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Sep%202021%2021:51:54%20GMT	http://mixdesign.club/themeforest/axio/css/main.css	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/css/main.css	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:07	10775/10775	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Sep%202021%2021:52:02%20GMT	http://mixdesign.club/themeforest/axio/css/colors/color-3.css	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/css/colors/color-3.css	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:07	3705/3705	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:52:32%20GMT	http://mixdesign.club/themeforest/axio/img/logo-loader.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/logo-loader.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:08	4770/4770	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:52:30%20GMT	http://mixdesign.club/themeforest/axio/img/axio-logo.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/axio-logo.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:11	111286/111286	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Sep%202021%2021:53:36%20GMT	http://mixdesign.club/themeforest/axio/img/favicon/og-image.jpg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/favicon/og-image.jpg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:11	1776/1776	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:53:50%20GMT	http://mixdesign.club/themeforest/axio/img/features/axio-icon-1.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/features/axio-icon-1.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:12	2238/2238	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:53:51%20GMT	http://mixdesign.club/themeforest/axio/img/features/axio-icon-2.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/features/axio-icon-2.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:12	1903/1903	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:53:51%20GMT	http://mixdesign.club/themeforest/axio/img/features/axio-icon-3.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/features/axio-icon-3.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:12	1277/1277	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:53:52%20GMT	http://mixdesign.club/themeforest/axio/img/features/axio-icon-4.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/features/axio-icon-4.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:13	1858/1858	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:53:53%20GMT	http://mixdesign.club/themeforest/axio/img/features/axio-icon-5.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/features/axio-icon-5.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:13	1588/1588	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Sep%202021%2021:53:54%20GMT	http://mixdesign.club/themeforest/axio/img/features/axio-icon-6.svg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/features/axio-icon-6.svg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
11:25:15	52002/52002	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Sep%202021%2021:54:12%20GMT	http://mixdesign.club/themeforest/axio/img/works/1200x900-work-1.jpg	C:/Users/PC/Desktop/CoomingSoon/Cooming-Soon/mixdesign.club/themeforest/axio/img/works/1200x900-work-1.jpg	(from http://mixdesign.club/themeforest/axio/index-color-3-kenburns.html)
